id;nome;pais
815;Diogo Dalot;Portugal
816;Nuno Mendes;Portugal
817;Gonçalo Inácio;Portugal
818;Bernardo Silva;Portugal
819;Bruno Fernandes;Portugal
820;Ruben Neves;Portugal
821;Vitinha;Portugal
822;Foto do Time;Portugal
823;João Neves;Portugal
824;Cristiano Ronaldo;Portugal
825;Francisco Trincão;Portugal
826;João Félix;Portugal
827;Gonçalo Ramos;Portugal
828;Pedro Neto;Portugal
829;Rafael Leão;Portugal
830;Escudo Colômbia;Colômbia
831;Camilo Vargas;Colômbia
832;David Ospina;Colômbia
833;Dávinson Sánchez;Colômbia
834;Yerry Mina;Colômbia
835;Daniel Muñoz;Colômbia
836;Johan Mojica;Colômbia
837;Jhon Lucumí;Colômbia
838;Santiago Arias;Colômbia
839;Jefferson Lerma;Colômbia
840;Kevin Castaño;Colômbia
841;Richard Ríos;Colômbia
842;Foto do Time;Colômbia
843;James Rodríguez;Colômbia
844;Juan Fernando Quintero;Colômbia
845;Jorge Carrascal;Colômbia
846;Jhon Arias;Colômbia
847;Jhon Córdoba;Colômbia
848;Luis Suárez;Colômbia
849;Luis Díaz;Colômbia
850;Escudo Uzbequistão;Uzbequistão
851;Utkir Yusupov;Uzbequistão
852;Farrukh Savfiev;Uzbequistão
853;Sherzod Nasrullaev;Uzbequistão
854;Umar Eshmurodov;Uzbequistão
855;Husniddin Aliqulov;Uzbequistão
856;Rustamjon Ashurmatov;Uzbequistão
857;Khojiakbar Alijonov;Uzbequistão
858;Abdukodir Khusanov;Uzbequistão
859;Odiljon Hamrobekov;Uzbequistão
860;Otabek Shukurov;Uzbequistão
861;Jamshid Iskanderov;Uzbequistão
862;Foto do Time;Uzbequistão
863;Azizbek Turgunboev;Uzbequistão
864;Khojimat Erkinov;Uzbequistão
865;Eldor Shomurodov;Uzbequistão
866;Oston Urunov;Uzbequistão
867;Jaloliddin Masharipov;Uzbequistão
868;Igor Sergeev;Uzbequistão
869;Abbosbek Fayzullaev;Uzbequistão
870;Escudo Rep. Dem. do Congo;Rep Dem do Congo
871;Lionel Mpasi;Rep Dem do Congo
872;Aaron Wan-Bissaka;Rep Dem do Congo
873;Axel Tuanzebe;Rep Dem do Congo
874;Arthur Masuaku;Rep Dem do Congo
875;Chancel Mbemba;Rep Dem do Congo
876;Joris Kayembe;Rep Dem do Congo
877;Charles Pickel;Rep Dem do Congo
878;Ngal'ayel Mukau;Rep Dem do Congo
879;Edo Kayembe;Rep Dem do Congo
880;Samuel Moutoussamy;Rep Dem do Congo
881;Noah Sadiki;Rep Dem do Congo
882;Foto do Time;Rep Dem do Congo
883;Théo Bongonda;Rep Dem do Congo
884;Meschack Elia;Rep Dem do Congo
885;Yoane Wissa;Rep Dem do Congo
886;Brian Cipenga;Rep Dem do Congo
887;Fiston Mayele;Rep Dem do Congo
888;Cédric Bakambu;Rep Dem do Congo
889;Nathanaël Mbuku;Rep Dem do Congo
890;Escudo Inglaterra;Inglaterra
891;Jordan Pickford;Inglaterra
892;John Stones;Inglaterra
893;Marc Guéhi;Inglaterra
894;Ezri Konsa;Inglaterra
895;Trent Alexander-Arnold;Inglaterra
896;Reece James;Inglaterra
897;Dan Burn;Inglaterra
898;Jordan Henderson;Inglaterra
899;Declan Rice;Inglaterra
900;Jude Bellingham;Inglaterra
901;Cole Palmer;Inglaterra
902;Foto do Time;Inglaterra
903;Morgan Rogers;Inglaterra
904;Anthony Gordon;Inglaterra
905;Phil Foden;Inglaterra
906;Bukayo Saka;Inglaterra
907;Harry Kane;Inglaterra
908;Marcus Rashford;Inglaterra
909;Ollie Watkins;Inglaterra
910;Escudo Croácia;Croácia
911;Dominik Livaković;Croácia
912;Duje Ćaleta-Car;Croácia
913;Joško Gvardiol;Croácia
914;Josip Stanišić;Croácia
915;Luka Vušković;Croácia
916;Josip Šutalo;Croácia
917;Kristijan Jakić;Croácia
918;Luka Modrić;Croácia
919;Mateo Kovačić;Croácia
920;Martin Baturina;Croácia
921;Lovro Majer;Croácia
922;Foto do Time;Croácia
923;Mario Pašalić;Croácia
924;Petar Sučić;Croácia
925;Ivan Perišić;Croácia
926;Marco Pašalić;Croácia
927;Ante Budimir;Croácia
928;Andrej Kramarić;Croácia
929;Franjo Ivanović;Croácia
930;Escudo Panamá;Panamá
931;Orlando Mosquera;Panamá
932;Luis Mejía;Panamá
933;Fidel Escobar;Panamá
934;Andrés Andrade;Panamá
935;Michael Amir Murillo;Panamá
936;Eric Davis;Panamá
937;José Córdoba;Panamá
938;César Blackman;Panamá
939;Cristian Martínez;Panamá
940;Aníbal Godoy;Panamá
941;Adalberto Carrasquilla;Panamá
942;Foto do Time;Panamá
943;Édgar Bárcenas;Panamá
944;Carlos Harvey;Panamá
945;Ismael Díaz;Panamá
946;José Fajardo;Panamá
947;Cecilio Waterman;Panamá
948;José Luis Rodríguez;Panamá
949;Alberto Quintero;Panamá
950;Escudo Gana;Gana
951;Lawrence Ati Zigi;Gana
952;Tariq Lamptey;Gana
953;Mohammed Salisu;Gana
954;Alidu Seidu;Gana
955;Alexander Djiku;Gana
956;Gideon Mensah;Gana
957;Caleb Yirenkyi;Gana
958;Abdul Fatawu Issahaku;Gana
959;Thomas Partey;Gana
960;Salis Abdul Samed;Gana
961;Kamaldeen Sulemana;Gana
962;Foto do Time;Gana
963;Mohammed Kudus;Gana
964;Iñaki Williams;Gana
965;Jordan Ayew;Gana
966;André Ayew;Gana
967;Joseph Paintsil;Gana
968;Osman Bukari;Gana
969;Antoine Semenyo;Gana
970;FWC 9 — Itália 1934;FIFA Museum
971;FWC 10 — Uruguai 1950;FIFA Museum
972;FWC 11 — Alemanha Ocidental 1954;FIFA Museum
973;FWC 12 — Brasil 1962;FIFA Museum
974;FWC 13 — Alemanha Ocidental 1974;FIFA Museum
975;FWC 14 — Argentina 1986;FIFA Museum
976;FWC 15 — Brasil 1994;FIFA Museum
977;FWC 16 — Brasil 2002;FIFA Museum
978;FWC 17 — Itália 2006;FIFA Museum
979;FWC 18 — Alemanha 2014;FIFA Museum
980;FWC 19 — Argentina 2022;FIFA Museum
981;CC 1 — Lamine Yamal;CocaCola
982;CC 2 — Joshua Kimmich;CocaCola
983;CC 3 — Harry Kane;CocaCola
984;CC 4 — Santiago Giménez;CocaCola
985;CC 5 — Joško Gvardiol;CocaCola
986;CC 6 — Federico Valverde;CocaCola
987;CC 7 — Jefferson Lerma;CocaCola
988;CC 8 — Enner Valencia;CocaCola
989;CC 9 — Gabriel Magalhães;CocaCola
990;CC 10 — Virgil van Dijk;CocaCola
991;CC 11 — Alphonso Davies;CocaCola
992;CC 12 — Emiliano Martínez;CocaCola
993;CC 13 — Raúl Jiménez;CocaCola
994;CC 14 — Lautaro Martínez;CocaCola
