id;nome;pais
180;Bruno Guimarães;Brasil
181;Luiz Henrique;Brasil
182;Foto do Time;Brasil
183;Vinícius Jr.;Brasil
184;Rodrygo;Brasil
185;Raphinha;Brasil
186;Gabriel Martinelli;Brasil
187;Matheus Cunha;Brasil
188;João Pedro;Brasil
189;Estêvão;Brasil
190;Escudo Marrocos;Marrocos
191;Yassine Bounou;Marrocos
192;Munir El Kajoui;Marrocos
193;Achraf Hakimi;Marrocos
194;Noussair Mazraoui;Marrocos
195;Nayef Aguerd;Marrocos
196;Romain Saïss;Marrocos
197;Jawad El Yamiq;Marrocos
198;Adam Masina;Marrocos
199;Sofyan Amrabat;Marrocos
200;Azzedine Ounahi;Marrocos
201;Eliesse Ben Seghir;Marrocos
202;Foto do Time;Marrocos
203;Bilal El Khannouss;Marrocos
204;Ismael Saibari;Marrocos
205;Youssef En-Nesyri;Marrocos
206;Abde Ezzalzouli;Marrocos
207;Soufiane Rahimi;Marrocos
208;Brahim Díaz;Marrocos
209;Ayoub El Kaabi;Marrocos
210;Escudo Escócia;Escócia
211;Angus Gunn;Escócia
212;Jack Hendry;Escócia
213;Kieran Tierney;Escócia
214;Aaron Hickey;Escócia
215;Andrew Robertson;Escócia
216;Scott McKenna;Escócia
217;John Souttar;Escócia
218;Anthony Ralston;Escócia
219;Grant Hanley;Escócia
220;Scott McTominay;Escócia
221;Billy Gilmour;Escócia
222;Foto do Time;Escócia
223;Lewis Ferguson;Escócia
224;Ryan Christie;Escócia
225;Kenny McLean;Escócia
226;John McGinn;Escócia
227;Lyndon Dykes;Escócia
228;Che Adams;Escócia
229;Ben Doak;Escócia
230;Escudo Haiti;Haiti
231;Johny Placide;Haiti
232;Carlens Arcus;Haiti
233;Martin Expérience;Haiti
234;Jean-Kevin Duverne;Haiti
235;Ricardo Adé;Haiti
236;Duke Lacroix;Haiti
237;Garven Metusala;Haiti
238;Hannes Delcroix;Haiti
239;Leverton Pierre;Haiti
240;Danley Jean Jacques;Haiti
241;Jean-Ricner Bellegarde;Haiti
242;Foto do Time;Haiti
243;Christopher Attys;Haiti
244;Derrick Etienne Jr.;Haiti
245;Josué Casimir;Haiti
246;Ruben Providence;Haiti
247;Duckens Nazon;Haiti
248;Louicius Deedson;Haiti
249;Frantzdy Pierrot;Haiti
250;Escudo Estados Unidos;Estados Unidos
